ID,cc_cons,card_lim,personal_loan_active,vehicle_loan_active,personal_loan_closed,vehicle_loan_closed,loan_enq,emi_active,account_type,gender,age,Income,Emp_Tenure_Years,Tenure_with_Bank,region_code,NetBanking_Flag,Avg_days_between_transaction,total_spend_credit_cc,total_spend_debit_cc,total_count_credit_trans,total_count_debit_trans,total_investment,total_sum_debited_amount,total_sum_credited_amount,total_count_debited_counts,total_count_credited_counts,total_max_credited_amount
8830,,505000,1,1,1.0,1,Y,7970.12,current,F,53.0,MEDIUM,26.400000000000002,4,4,809,1,17513.0,3356.26,100.0,73.0,356039.67,149349.11,194768.91,104.0,20.0,116999.0
8926,,124000,1,1,1.0,1,Y,8359.12,current,F,40.0,LOW,4.0,10,10,233,1,51424.81,23872.47,252.5,130.0,1254543.3399999999,105578.61,253128.0,119.0,6.0,145351.0
10974,,46000,1,1,1.0,1,Y,4978.08,current,M,29.0,MEDIUM,9.0,3,3,762,1,109024.28999999998,5105.66,77.0,16.0,451050.7,259602.94,94727.0,222.0,74.0,64546.0
2155,,195000,1,1,1.0,1,Y,10199.13,current,M,35.0,MEDIUM,6.0,7,7,535,1,29325.27,14232.72,89.0,124.0,864130.3,236256.92,104276.0,150.0,102.0,137823.68
17251,,152000,1,1,1.0,1,Y,2825.87,saving,M,37.0,LOW,10.200000000000001,2,2,799,1,109024.28999999998,10383.2,177.0,83.0,680581.5,113392.82,85832.0,171.0,58.0,122686.0
12154,,114000,1,1,1.0,1,Y,10748.54,current,M,53.0,MEDIUM,19.8,7,7,249,0,40497.12,18858.66,52.0,52.0,128690.93,210138.85,123098.0,80.0,11.0,128819.0
12227,,421000,1,1,1.0,1,Y,2646.72,current,M,37.0,LOW,15.3,10,10,867,1,45808.995,6677.0,46.0,32.0,1254543.3399999999,132336.65,462473.25,145.0,27.0,79459.0
19961,,298000,1,1,1.0,1,Y,7114.19,current,M,42.0,MEDIUM,11.0,4,4,233,0,14899.26,23119.0,52.0,73.0,1254543.3399999999,368436.28,295821.84,172.0,48.0,314811.125
13866,,330000,1,1,1.0,1,Y,896.26,current,M,49.0,MEDIUM,5.800000000000001,6,6,299,1,34057.465,9196.94,82.0,29.0,145523.5,91550.54000000001,220140.24,95.0,10.0,314811.125
17498,,400000,1,1,1.0,1,Y,7522.08,current,M,34.0,HIGH,5.6000000000000005,4,4,969,1,42496.229999999996,40970.0,170.0,78.0,419641.15,80986.89,161209.25,11.0,6.0,139042.0
7241,,35800,1,1,1.0,1,Y,10033.1,current,F,33.0,HIGH,5.2,4,4,911,1,9703.8,26003.16,166.0,13.0,1254543.3399999999,37045.02,510021.06500000006,98.0,29.0,314811.125
414,,510000,1,1,1.0,1,Y,4411.0,current,M,38.0,LOW,18.0,10,10,299,1,34738.575,52786.44875000001,163.0,19.0,692384.96,97201.54000000001,191130.0,245.0,46.0,304594.0
206,,232000,1,1,1.0,1,Y,13244.87,current,F,47.0,MEDIUM,10.8,10,10,614,1,31574.58,30057.18,111.0,108.0,184881.25,100847.84,146612.39,104.0,4.0,37409.0
7420,,430000,1,1,1.0,1,Y,989.03,saving,M,62.0,MEDIUM,29.400000000000002,8,8,823,1,41632.22,12025.0,55.0,123.0,146864.96000000002,132613.05,94866.0,216.0,83.0,176442.0
4601,,187000,1,1,1.0,1,Y,9921.56,current,M,83.0,MEDIUM,37.349999999999994,6,6,374,1,36379.51,52786.44875000001,19.0,97.0,1254543.3399999999,171581.22,412105.19000000006,39.0,26.0,75485.0
2768,,173000,1,1,1.0,1,Y,6527.86,current,F,62.0,LOW,29.400000000000002,10,10,858,1,23880.079999999998,38852.310000000005,87.0,79.0,1254543.3399999999,132900.09,292691.58,84.0,25.0,205269.81
8120,,660000,1,1,1.0,1,Y,4634.27,saving,M,58.0,MEDIUM,15.200000000000001,6,6,488,1,40822.509999999995,37446.14,142.0,94.0,577035.8,400228.4,64295.0,168.0,75.0,141791.0
18584,,518000,1,1,1.0,1,Y,109.72,current,M,55.0,MEDIUM,17.5,5,5,488,0,31083.77,9989.11,252.5,3.0,299311.69999999995,433677.36000000004,126075.08,157.0,36.0,115909.91
16697,,408000,1,1,1.0,1,Y,7016.93,current,M,47.0,HIGH,2.7,7,7,269,0,67460.22,2322.7799999999997,94.0,33.0,1254543.3399999999,447164.94625000004,350926.85,110.0,53.0,98621.95
16238,,222000,1,1,1.0,1,Y,15217.78,current,M,33.0,MEDIUM,6.5,6,6,575,0,57045.009999999995,23370.39,216.0,118.0,133136.32,31929.2,156773.0,58.0,101.0,205619.0
3772,,53000,1,1,1.0,1,Y,5469.79,current,M,53.0,MEDIUM,16.5,6,6,261,0,48699.365000000005,5456.72,38.0,33.0,104473.0,184751.93,93212.0,55.0,122.5,110220.0
3462,,267000,1,1,1.0,1,Y,18383.91,current,M,27.0,HIGH,0.7000000000000001,3,3,538,1,43316.54,6294.96,46.0,41.0,209594.11000000002,447164.94625000004,201348.78999999998,106.0,46.0,67002.47
710,,369000,1,1,1.0,1,Y,293.49,current,M,53.0,MEDIUM,26.400000000000002,7,7,269,0,39432.785,15758.15,82.0,111.0,105245.78,185692.24,325122.0,58.0,66.0,108231.0
558,,19000,1,1,1.0,1,Y,1500.22,current,M,30.0,LOW,9.0,8,8,836,0,28903.289999999997,30061.0,252.5,54.0,1254543.3399999999,133657.19,90384.41,97.0,16.0,62402.0
1244,,47000,1,1,1.0,1,Y,4621.07,current,F,33.0,MEDIUM,1.3,9,9,685,1,49560.095,5502.2,63.0,32.0,1193748.7,137217.62,124651.0,108.0,10.0,105398.0
1302,,524000,1,1,1.0,1,Y,2947.76,current,M,35.0,MEDIUM,12.0,4,4,640,1,109024.28999999998,33728.0,77.0,17.0,136480.50977,116842.25,197359.0,19.0,43.0,63525.0
547,,300000,1,1,1.0,1,Y,2222.58,current,M,42.0,MEDIUM,13.200000000000001,5,5,698,1,63645.27,26072.0,72.0,20.0,66939.6,69160.84,228917.0,130.0,9.0,177606.66
19129,,134000,1,1,1.0,1,Y,46188.74,current,F,58.0,LOW,30.400000000000002,4,4,799,1,19989.31,24498.769999999997,87.0,39.0,92598.6,151749.91999999998,112615.14,114.0,122.5,107939.0
237,,378000,1,1,1.0,1,Y,9432.9,current,M,33.0,MEDIUM,6.5,6,6,658,1,38650.54,8393.84,98.0,28.0,171404.65,184210.01,126701.43000000001,129.0,7.0,64045.0
11122,,170000,1,1,1.0,1,Y,1259.97,current,M,31.0,MEDIUM,6.6000000000000005,6,6,258,1,11298.98,45090.48,75.0,103.0,48947.39,214901.54,302518.5,85.0,73.0,209972.0
4438,,750000,1,1,1.0,1,Y,9698.08,current,M,33.0,MEDIUM,6.5,9,9,628,1,10505.85,13292.1,53.0,35.0,106805.5,374245.42,109722.35,150.0,44.0,151548.0
18371,,150000,1,1,1.0,1,Y,14546.85,current,M,34.0,MEDIUM,12.600000000000001,9,9,653,0,8950.89,10920.76,84.0,98.0,507650.37,135505.75,178973.0,153.0,84.0,54599.0
6401,,660000,1,1,1.0,1,Y,5491.65,current,M,36.0,HIGH,6.4,7,7,299,1,39064.3,3571.9300000000003,141.0,60.0,102731.3,270617.68,359621.65,155.0,45.0,153264.87
13770,,784000,1,1,1.0,1,Y,2403.13,current,F,40.0,MEDIUM,18.0,10,10,450,1,103585.815,15942.8,103.0,49.0,460195.32,215465.6,141235.68,103.0,10.0,127316.0
18317,,267000,1,1,1.0,1,Y,3348.67,current,M,56.0,HIGH,28.8,3,3,523,1,32915.8,14772.130000000001,77.0,129.0,278689.0,400466.87,349180.63999999996,101.0,7.0,314811.125
19226,,301000,1,1,1.0,1,Y,2481.04,current,M,38.0,LOW,7.2,6,6,945,0,49305.56,27798.2,103.0,10.0,228547.2,51591.86,288191.75,133.0,52.0,127088.93
4126,,282000,1,1,1.0,1,Y,381.33,current,M,42.0,MEDIUM,15.4,9,9,963,1,109024.28999999998,43315.89,126.0,39.0,903512.4,313254.51,98921.0,109.0,12.0,152753.0
11313,,423000,1,1,1.0,1,Y,1819.91,saving,M,53.0,LOW,3.3000000000000003,5,5,805,1,14470.165,4614.51,82.0,30.0,958061.1599999999,375713.25,155626.0,79.0,67.0,138937.21
3925,,267000,1,1,1.0,1,Y,10759.85,saving,M,28.0,LOW,4.800000000000001,2,2,628,1,23127.010000000002,15535.619999999999,46.0,27.0,234411.8,304248.55,214399.7,73.0,96.0,314811.125
15973,,78000,1,1,1.0,1,Y,2770.05,saving,M,30.0,LOW,5.0,5,5,866,1,27530.7,12236.01,118.0,66.0,538454.22,88786.35,130061.79000000001,211.0,7.0,92755.70999999999
12281,,599000,1,1,1.0,1,Y,18502.92,saving,F,30.0,MEDIUM,7.0,1,1,248,1,39037.689999999995,10082.48,51.0,59.0,139576.99,97991.65999999999,364511.0,11.0,26.0,198084.68
353,,263000,1,1,1.0,1,Y,8486.25,current,M,37.0,MEDIUM,17.0,3,3,818,1,48594.61,30456.600000000002,35.0,132.0,234428.96000000002,58356.3,157473.86,40.0,49.0,142201.0
907,,45000,1,1,1.0,1,Y,8631.17,current,M,37.0,MEDIUM,5.1000000000000005,1,1,683,1,15347.575,10612.0,99.0,131.0,764300.4,318382.05000000005,125340.0,71.0,51.0,96531.0
1711,,84000,1,1,1.0,1,Y,9622.48,current,M,47.0,LOW,18.900000000000002,10,10,858,1,23233.415,22642.239999999998,116.0,75.0,87322.29,140411.62,93691.1,176.0,86.0,100384.0
9617,,52000,1,1,1.0,1,Y,820.27,current,M,53.0,LOW,33.0,10,10,639,0,27857.0,11563.96,71.0,32.0,166575.75,232811.41,510021.06500000006,224.0,42.0,133835.0
12928,,85000,1,1,1.0,1,Y,12481.64,current,M,42.0,LOW,2.2,10,10,269,1,64835.920000000006,2869.0299999999997,37.0,58.0,282470.06,447164.94625000004,123508.0,176.0,61.0,144168.0
3523,,195000,1,1,1.0,1,Y,30340.33,current,M,60.0,LOW,12.0,2,2,516,1,47934.54,16704.0,36.0,99.0,334412.05,208916.50999999998,395864.16,68.0,75.0,152139.0
18838,,358000,1,1,1.0,1,Y,3836.95,current,M,46.0,HIGH,5.2,6,6,614,1,33433.81,12212.0,105.0,44.0,455852.5,179644.5,174967.0,280.0,22.0,105779.0
17609,,1000000,1,1,1.0,1,Y,16447.45,current,F,53.0,MEDIUM,26.400000000000002,7,7,447,1,43826.85,35163.759999999995,71.0,76.0,94985.9,60236.21000000001,103981.0,87.0,18.0,117410.0
306,,423000,1,1,1.0,1,Y,237.96,current,M,60.0,LOW,20.0,6,6,865,1,26189.170000000002,39244.15,217.0,130.0,171568.0,60293.740000000005,193923.0,47.0,71.0,104861.83
14812,,263000,1,1,1.0,1,Y,2500.32,current,M,37.0,MEDIUM,17.0,10,10,299,1,8812.32,16196.939999999999,187.0,61.0,1254543.3399999999,227205.09000000003,336892.0,123.0,67.0,61855.0
1551,,267000,1,1,1.0,1,Y,3314.03,saving,M,58.0,MEDIUM,19.0,3,3,908,1,7571.26,19028.25,90.0,45.0,1254543.3399999999,387564.58999999997,107023.61,57.0,28.0,123692.0
16640,,124000,1,1,1.0,1,Y,2025.21,saving,M,30.0,MEDIUM,5.0,6,6,454,0,109024.28999999998,5595.01,79.0,106.0,352401.43,134863.24,135876.0,139.0,55.0,314811.125
13546,,366000,1,1,1.0,1,Y,9376.39,saving,M,35.0,LOW,10.5,7,7,537,1,18084.145,13666.26,136.0,90.0,462510.91000000003,173613.77,238871.0,109.0,36.0,128788.0
4968,,525000,1,1,1.0,1,Y,5629.76,current,M,60.0,MEDIUM,24.0,2,2,750,1,109024.28999999998,8971.67,94.0,26.0,1254543.3399999999,347195.61,172771.5,138.0,10.0,280259.0
13371,,100000,1,1,1.0,1,Y,2721.11,current,M,34.0,LOW,8.4,8,8,258,1,15983.95,6503.83,43.0,96.0,89744.5,218900.88,308210.5,164.0,27.0,244615.0
3981,,84000,1,1,1.0,1,Y,5171.54,current,M,33.0,MEDIUM,1.3,7,7,628,1,49967.475,8125.22,252.5,72.0,288164.3,91306.19,510021.06500000006,91.0,42.0,127126.0
11568,,256000,1,1,1.0,1,Y,1270853.3,current,M,33.0,MEDIUM,11.700000000000001,7,7,799,1,109024.28999999998,29359.37,24.0,151.0,921412.82007,283265.52,272379.0,86.0,85.0,98187.0
5662,,471000,1,1,1.0,1,Y,10055.05,current,M,46.0,MEDIUM,23.400000000000002,10,10,723,1,49097.935,19307.84,67.0,37.0,219883.25,65316.649999999994,335661.94,34.0,12.0,193310.0
19586,,119000,1,1,1.0,1,Y,19390.71,current,F,40.0,MEDIUM,6.0,7,7,538,1,18253.2,7471.75,75.0,100.0,1254543.3399999999,272616.69999999995,223473.82,28.0,47.0,86729.0
14489,,47000,1,1,1.0,1,Y,4248.92,current,M,30.0,MEDIUM,8.0,10,10,805,1,46440.46,19160.29,67.0,56.0,147003.85,251914.8,510021.06500000006,87.0,51.0,105696.0
14153,,845000,1,1,1.0,1,Y,243141.04,current,M,47.0,MEDIUM,16.2,10,10,863,0,26916.555,32501.71,23.0,20.0,248786.0,447164.94625000004,134887.0,142.0,69.0,94455.0
7626,,341000,1,1,1.0,1,Y,755.17,current,M,58.0,LOW,15.200000000000001,10,10,269,1,38875.020000000004,11272.29,252.5,83.0,604374.20977,447164.94625000004,158510.0,74.0,22.0,192443.0
3085,,263000,1,1,1.0,1,Y,178.75,current,F,34.0,MEDIUM,2.8000000000000003,5,5,633,0,41587.740000000005,8297.35,84.0,110.0,119105.21006,258334.43,302707.5,199.0,9.0,68504.0
14821,,450000,1,1,1.0,1,Y,981.99,current,M,29.0,MEDIUM,3.6,7,7,523,1,51151.25,20823.5,222.0,50.0,249042.74,221792.83000000002,150673.71000000002,204.0,30.0,99994.0
9815,,555000,1,1,1.0,1,Y,5971.57,current,M,60.0,MEDIUM,8.0,7,7,538,1,38387.62,23666.0,69.0,70.0,340884.52,447164.94625000004,216703.85,171.0,53.0,314811.125
6506,,472000,1,1,1.0,1,Y,2290.4,current,M,53.0,LOW,9.9,7,7,882,1,12529.73,52786.44875000001,211.0,73.0,73198.98999999999,244041.15,510021.06500000006,136.0,28.0,55664.0
6176,,293000,1,1,1.0,1,Y,470.72,current,M,56.0,LOW,25.200000000000003,1,1,270,0,109024.28999999998,17344.76,252.5,56.0,21256.65,145511.09000000003,207364.5,149.0,34.0,87005.0
13040,,139999,1,1,1.0,1,Y,1733.28,current,M,55.0,MEDIUM,24.5,9,9,574,1,9049.71,8304.4,64.0,31.0,631008.97,185170.38,261283.81,82.0,9.0,57974.0
1325,,784000,1,1,1.0,1,Y,2162.47,saving,M,38.0,MEDIUM,16.2,2,2,698,0,24092.100000000002,37817.15,101.0,52.0,193195.28,224618.52000000002,133973.0,95.0,15.0,314811.125
330,,173000,1,1,1.0,1,Y,1852.58,current,M,35.0,LOW,10.5,7,7,485,0,89455.04,34471.89,46.0,23.0,470095.4,330954.82,490962.13,106.0,54.0,174001.0
2389,,28000,1,1,1.0,1,Y,1371.25,current,M,42.0,MEDIUM,4.4,8,8,316,0,19310.02,52786.44875000001,137.0,30.0,109691.53,116602.04999999999,209550.14,111.0,15.0,121613.0
10391,,199999,1,1,1.0,1,Y,734.74,current,M,34.0,MEDIUM,9.8,10,10,506,1,65956.935,52786.44875000001,61.0,23.0,309415.8,134628.31,96414.0,223.0,50.0,74117.97
1019,,147000,1,1,1.0,1,Y,4651.09,current,M,55.0,MEDIUM,35.0,3,3,968,1,39352.55,52786.44875000001,52.0,96.0,364045.25,67396.48000000001,310020.82,283.5,30.0,314811.125
4338,,190000,1,1,1.0,1,Y,10155.1,current,M,53.0,MEDIUM,19.8,2,2,805,1,82423.055,9921.2,94.0,60.0,52242.2,165384.94,85291.93,35.0,28.0,165069.0
19849,,351000,1,1,1.0,1,Y,4368.79,current,M,62.0,MEDIUM,33.6,10,10,658,1,74071.97,6921.48,79.0,56.0,625007.05,345269.2,107975.0,81.0,59.0,314811.125
13667,,197000,1,1,1.0,1,Y,4598.63,saving,F,35.0,MEDIUM,4.5,1,1,631,1,47401.12,51792.91,142.0,12.0,1254543.3399999999,196193.93,118979.57,158.0,44.0,114623.0
12709,,17000,1,1,1.0,1,Y,534.68,saving,M,29.0,LOW,7.2,9,9,314,0,13553.730000000001,12097.0,93.0,142.0,114323.75,447164.94625000004,225779.0,76.0,84.0,125169.0
12701,,140000,1,1,1.0,1,Y,568.48,saving,M,34.0,MEDIUM,12.600000000000001,4,4,386,1,44856.33,18429.3,83.0,101.0,308926.2,74583.54,361007.35,149.0,121.0,75520.0
18563,,48000,1,1,1.0,1,Y,1888.1,current,M,32.0,LOW,10.8,8,8,486,1,12291.420000000002,50985.0,142.0,6.0,414570.47,158779.72,148930.86,147.0,11.0,86086.0
19665,,17000,1,1,1.0,1,Y,2566.83,current,M,30.0,MEDIUM,4.0,6,6,454,1,69928.295,13746.7,252.5,41.0,685586.23,76284.59,500697.55,87.0,43.0,314811.125
5251,,472000,1,1,1.0,1,Y,2985.28,current,M,60.0,MEDIUM,37.349999999999994,2,2,245,0,99533.79999999999,10633.67,232.0,29.0,279995.6091,402859.47,45279.88,112.0,6.0,232999.0
6671,,402000,1,1,1.0,1,Y,14577.47,current,F,35.0,MEDIUM,3.0,4,4,884,1,15701.449999999999,8684.0,53.0,37.0,153406.4,257996.2,53553.0,66.0,36.0,66352.0
15887,,303000,1,1,1.0,1,Y,3353.21,current,M,28.0,MEDIUM,0.8,8,8,643,1,39133.46,11054.23,71.0,15.0,193779.33,135702.58000000002,246045.91999999998,90.0,7.0,98903.0
544,,255000,1,1,1.0,1,Y,1434.53,saving,M,33.0,MEDIUM,5.2,5,5,574,0,17955.84,52786.44875000001,92.0,109.0,236735.2,447164.94625000004,153150.0,212.0,24.0,59821.0
13494,,50900,1,1,1.0,1,Y,599.52,current,M,29.0,MEDIUM,6.300000000000001,7,7,523,1,106146.45,15536.91,97.0,62.0,787492.0,140240.97,108297.42,163.0,8.0,128756.0
4304,,483000,1,1,1.0,1,Y,2437.5,saving,M,34.0,MEDIUM,2.8000000000000003,4,4,737,0,60543.74,34046.55,152.0,11.0,201837.25,138419.22999999998,77299.37,137.0,40.0,198041.0
12181,,340000,1,1,1.0,1,Y,12397.88,saving,F,53.0,MEDIUM,16.5,5,5,809,1,39353.990000000005,7519.13,138.0,137.0,496766.15,66728.62,123638.5,34.0,14.0,138071.0
15041,,300000,1,1,1.0,1,Y,346.33,current,M,38.0,MEDIUM,5.4,10,10,523,0,56865.86,12415.55,155.0,51.0,1254543.3399999999,447164.94625000004,211679.0,145.0,8.0,163885.2
14167,,169000,1,1,1.0,1,Y,15676.56,current,M,40.0,LOW,10.0,2,2,372,0,24808.45,21493.36,55.0,16.0,402518.37,235083.68,42799.0,67.0,12.0,118432.0
4659,,139999,1,1,1.0,1,Y,7522.08,current,M,66.0,LOW,37.349999999999994,4,4,485,1,109024.28999999998,18833.55,69.0,79.0,341402.0,148033.69,232022.0,89.0,35.0,143073.0
1820,,25000,1,1,1.0,1,Y,17972.66,current,M,27.0,LOW,6.300000000000001,4,4,698,1,65666.95,8477.0,82.0,36.0,86064.38,105625.69,172454.39,48.0,23.0,87679.0
6317,,453000,1,1,1.0,1,Y,1254.52,current,F,35.0,MEDIUM,10.5,10,10,924,0,62606.020000000004,14245.0,147.0,133.0,184205.56006,157319.37,86598.75,167.0,53.0,73646.0
313,,378000,1,1,1.0,1,Y,730.0,current,M,27.0,LOW,7.0,3,3,805,1,97799.29000000001,26022.0,73.0,161.0,288451.25,155859.18,118979.53,85.0,14.0,142593.0
12467,,272000,1,1,1.0,1,Y,116.08,saving,M,31.0,MEDIUM,5.5,9,9,535,1,9010.83,52786.44875000001,93.0,7.0,1254543.3399999999,94176.65,190461.0,110.0,49.0,148242.0
13452,,533000,1,1,1.0,1,Y,23108.9,current,M,37.0,MEDIUM,11.9,6,6,614,1,109024.28999999998,3625.02,74.0,90.0,48710.910059999995,135487.38,132379.89,77.0,8.0,101142.0
3464,,98000,1,1,1.0,1,Y,1637.15,current,F,28.0,MEDIUM,3.2,7,7,485,1,4891.015,5429.83,8.0,22.0,403190.45999999996,177773.41,95727.0,280.0,98.0,84375.0
4890,,378000,1,1,1.0,1,Y,1924.5,current,M,60.0,LOW,16.0,1,1,766,0,36462.46,23915.0,85.0,25.0,531375.5800000001,239187.18,510021.06500000006,135.0,110.0,69584.0
11567,,520000,1,1,1.0,1,Y,1893.93,saving,M,28.0,MEDIUM,2.4000000000000004,1,1,743,1,81420.67,50125.369999999995,181.0,46.0,161236.7,182137.47,68824.0,125.0,11.0,186769.02000000002
17396,,232000,1,1,1.0,1,Y,1109.2,current,F,39.0,LOW,13.3,1,1,858,1,13026.9,14027.84,11.0,36.0,204723.61,123485.53,77613.5,112.0,50.0,49942.0
13188,,102000,1,1,1.0,1,Y,207.9,saving,M,53.0,HIGH,29.700000000000003,3,3,647,1,24661.965,8823.93,82.0,134.0,115951.38,91107.47,178084.11,90.0,30.0,131145.33000000002
15605,,461000,1,1,1.0,1,Y,611.08,current,F,27.0,LOW,5.6000000000000005,10,10,723,1,30972.03,19433.34,175.0,3.0,269298.3,209132.19,197151.24,120.0,37.0,232166.0
7577,,378000,1,1,1.0,1,Y,1392.98,current,M,30.0,LOW,6.0,8,8,801,1,25126.955,6733.0,34.0,44.0,755842.37,52011.15,124435.29000000001,51.0,85.0,100231.0
8160,,520000,1,1,1.0,1,Y,878.64,current,M,53.0,LOW,26.400000000000002,8,8,247,0,15364.0,12199.9,249.0,71.0,1144273.07,205284.38,292914.0,283.5,12.0,68547.62
1429,,212500,1,1,1.0,1,Y,3847.15,saving,M,38.0,MEDIUM,5.4,9,9,864,0,13108.02,35614.3,60.0,12.0,327504.5,210243.62,152772.69,136.0,9.0,200961.0
14928,,263000,1,1,1.0,1,Y,6773.57,current,M,34.0,MEDIUM,11.200000000000001,3,3,928,0,52926.61000000001,19470.95,159.0,109.0,757922.2000000001,210268.37,128746.64,191.0,27.0,156420.0
3349,,164000,1,1,1.0,1,Y,6723.55,current,F,34.0,MEDIUM,1.4000000000000001,10,10,748,0,109024.28999999998,9065.630000000001,144.0,102.0,153949.61,124695.63,122432.38,96.0,40.0,158986.0
799,,39000,1,1,1.0,1,Y,9160.41,current,M,30.0,HIGH,10.0,6,6,370,0,32618.35,11437.85,86.0,26.0,342912.0,114450.73000000001,172844.0,40.0,12.0,123142.0
12678,,75000,1,1,1.0,1,Y,20456.72,current,M,40.0,HIGH,6.0,3,3,771,1,20051.32,29360.41,180.0,116.0,271553.05,81500.25,164364.13,188.0,52.0,88426.94
19053,,70000,1,1,1.0,1,Y,4796.27,current,F,53.0,HIGH,33.0,7,7,394,0,42926.42,12664.5,119.0,21.0,239049.43,259513.06,262939.0,70.0,4.0,89275.0
15806,,324000,1,1,1.0,1,Y,5535.13,current,M,51.0,MEDIUM,21.700000000000003,10,10,748,1,39428.8,16123.96,38.0,87.0,40949.91,260559.38,468966.0,120.0,61.0,111017.0
2854,,272000,1,1,1.0,1,Y,543.56,current,M,35.0,LOW,10.5,9,9,428,0,28315.77,42533.86,41.0,61.0,1254543.3399999999,158722.24000000002,90345.36,260.0,19.0,314811.125
4144,,329000,1,1,1.0,1,Y,3185.01,current,M,32.0,MEDIUM,12.0,9,9,958,0,21581.85,20529.86,114.0,5.0,647608.55,164222.65,212001.0,101.0,13.0,309954.0
16232,,395000,1,1,1.0,1,Y,9934.26,current,M,42.0,LOW,6.6000000000000005,7,7,614,0,32291.295000000002,47514.43,98.0,69.0,96893.9,160681.74,147222.0,153.0,122.0,96099.0
10365,,429000,1,1,1.0,1,Y,2018.98,current,F,83.0,MEDIUM,37.349999999999994,7,7,865,1,80929.99,27616.36,52.0,26.0,202286.02007,23887.21,337936.38,87.0,22.0,47053.0
4202,,17000,1,1,1.0,1,Y,8329.77,current,M,42.0,LOW,4.4,3,3,595,1,18879.13,34854.11,124.0,10.0,325112.5,83559.41,151198.88,134.0,18.0,167105.0
